country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,Adelaide Airport,AUS0000433,0.11,-34.9387,138.5377,Solar,,,,2011,Adelaide Airport Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Adelaide Showgrounds,AUS0000432,1,-34.9453,138.5882,Solar,,,,,Adelaide Showgrounds,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Albany Wind Farm,AUS0000065,21.6,-35.0641,117.7977,Wind,,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,89.59527778,102.6427778,96.55555556,95.87277778,85.90027778,92.68222222,,Australia Clean Energy Regulator,
AUS,Australia,Alice Springs Airport,AUS0000469,0.24,-23.7966,133.8971,Solar,,,,2004,Alice Springs Airport,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Amcor Gawler,AUS0000231,4,-34.5509,138.7659,Oil,,,,2015,Energy Response,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Angaston,AUS0000232,50,-34.5034,139.0246,Oil,,,,2005,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,1.653055556,5.300833333,7.649722222,2.222222222,,Australia Clean Energy Regulator,
AUS,Australia,Anglesea,AUS0000114,165,-38.3861,144.1828,Coal,,,,1970,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,1095.676944,1239.962778,1260.261111,167.88,,,,Australia Clean Energy Regulator,
AUS,Australia,Angurugu,AUS0000615,3.6,-13.8584,136.4209,Oil,,,,2010,BHP,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Appin (Mine),AUS0000264,55.6,-34.2082,150.7722,Gas,,,,2004,Energy Developments CSM (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,204.8044444,238.2944444,163.5836111,158.9330556,64.53472222,99.47,,Australia Clean Energy Regulator,
AUS,Australia,Ararat Wind Farm,AUS0000611,240,-37.2385,143.0794,Wind,,,,2008,Renewable Energy Systems Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Ardyaloon,AUS0000379,0.8,-16.4444,123.0414,Oil,,,,2014,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,1.751388889,1.790833333,1.773611111,2.008611111,1.847222222,1.962222222,,Australia Clean Energy Regulator,
AUS,Australia,Argyle Diamond Mine,AUS0000220,32,-16.7162,128.4031,Oil,,,,1985,Rio Tinto - Argyle Diamond Mines,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Bairnsdale,AUS0000081,94,-37.8429,147.5639,Gas,,,,2011,Alinta DEBO,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,132.4566667,154.8855556,149.8211111,197.5405556,168.5244444,260.5825,,Australia Clean Energy Regulator,
AUS,Australia,Bald Hill Wind Farm,AUS0000621,,-38.7468,145.9493,Wind,,,,1986,Origin Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Ballarat Base Hospital,AUS0000113,3,-37.5596,143.8469,Gas,,,,1987,Ballarat Base Hospital,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,4.194444444,4.213055556,5.079444444,6.831388889,6.663333333,6.903611111,,Australia Clean Energy Regulator,
AUS,Australia,Ballarat Solar Park,AUS0000472,0.3,-37.5144,143.7855,Solar,,,,2000,Central Victoria Solar City Consortium,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,0.182777778,0.389444444,0.441388889,0.401666667,,Australia Clean Energy Regulator,
AUS,Australia,Banimboola,AUS0000014,12.85,-36.5344,147.4594,Hydro,,,,1989,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,11.46833333,26.24138889,38.08166667,47.23805556,3.038333333,3.080277778,,Australia Clean Energy Regulator,
AUS,Australia,Bankstown Sports Club,AUS0000399,2,-33.9197,151.0332,Oil,,,,,Bankstown Sports Club,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,1153.421,1208.852,1175.765,1147.913,976.655,,,
AUS,Australia,Bannerton Solar Farm,AUS0000608,88,-34.6899,142.7452,Solar,,,,2015,Foresight Solar Australia,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,157.55825,152.1952,61.42135,89.6296,48.32715,,,
AUS,Australia,Barcaldine (Len Wishaw),AUS0000008,37,-23.5525,145.3142,Gas,,,,,Ergon Energy Qld Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,3.941666667,0.844722222,,Australia Clean Energy Regulator,
AUS,Australia,Barron Gorge,AUS0000151,60,-16.8502,145.6465,Hydro,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,180.4636111,202.7461111,173.7266667,106.8838889,127.7702778,153.8983333,,Australia Clean Energy Regulator,
