country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
IND,India,ACME Solar Tower,WRI1020239,2.5,28.1839,73.2407,Solar,,,,2011,Solar Paces,National Renewable Energy Laboratory,http://www.nrel.gov/csp/solarpaces/project_detail.cfm/projectID=262,National Renewable Energy Laboratory,,,,,,,,,,,
IND,India,ADITYA CEMENT WORKS,WRI1019881,98,24.7663,74.609,Coal,,,,,Ultratech Cement ltd,Ultratech Cement ltd,http://www.ultratechcement.com/,WRI,,,,,,,,,,,
IND,India,AES Saurashtra Windfarms,WRI1026669,39.2,21.9038,69.3732,Wind,,,,,AES,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1328700673.83/view,WRI,,,,,,,,,,,
IND,India,AGARTALA GT,IND0000001,135,23.8712,91.3602,Gas,,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,2.41461,617.789264,843.747,886.004428,663.7745,626.239128,,Central Electricity Authority,
IND,India,AKALTARA TPP,IND0000002,1800,21.9603,82.4091,Coal,Oil,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,3035.55,5916.37,6243,5385.579736,7279,,Central Electricity Authority,
IND,India,AKRIMOTA LIG,IND0000003,250,23.7689,68.6447,Coal,Oil,,,2005,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,1.528,1153.421,1208.852,1175.765,1147.913,976.655,,Central Electricity Authority,
IND,India,ALIYAR,IND0000004,60,10.4547,77.0078,Hydro,,,,1970,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,5.036,157.55825,152.1952,61.42135,89.6296,48.32715,,Central Electricity Authority,
IND,India,ALLAIN DUHANGAN,IND0000005,192,32.2258,77.207,Hydro,,,,2010,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.215,674.3911,721.3352,675.7244,679.59495,579.31885,,Central Electricity Authority,
IND,India,ALMATTI DAM,IND0000006,290,16.33,75.8863,Hydro,,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,480.59495,144.4342,402.02975,439.3721,406.3779,,Central Electricity Authority,
IND,India,AMAR KANTAK,IND0000007,210,23.1642,81.6373,Coal,Oil,,,2008,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,1887.904,1643.046,1338.093,1563.457,1487.88,,Central Electricity Authority,
IND,India,AMARAVATI TPP,IND0000008,1350,21.0782,77.9009,Coal,Oil,,,2014,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,2.741,1920.971,5629.663,1701.008,4350.558,3717.154,,Central Electricity Authority,
IND,India,ANANDPUR SAHIB ST-I&II,IND0000009,134,31.2717,76.4938,Hydro,,,,1985,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0,614.4125,665.1973,670.50065,644.57095,425.6411,,Central Electricity Authority,
IND,India,"ANAPARA ""C""",IND0000010,1200,24.2007,82.8,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,7744,8076.8105,7902.0216,7940.74,7873.973,,Central Electricity Authority,
IND,India,ANDHRA,IND0000011,16.95,31.2412,77.8769,Hydro,,,,1986,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,,,,,,,
IND,India,ANOOPGARH ST I&II,IND0000012,9,,,Hydro,,,,1987,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,,,,,,,
